date,value
2016-07-30 00:00:00,48545.0
2016-07-31 00:00:00,52547.0
2016-08-01 00:00:00,126255.0
2016-08-02 00:00:00,129561.0
2016-08-03 00:00:00,126409.0
2016-08-04 00:00:00,128200.0
2016-08-05 00:00:00,112891.0
2016-08-06 00:00:00,53765.0
2016-08-07 00:00:00,56550.0
2016-08-08 00:00:00,117990.0
2016-08-09 00:00:00,134324.0
2016-08-10 00:00:00,131230.0
2016-08-11 00:00:00,123623.0
2016-08-12 00:00:00,115832.0
2016-08-13 00:00:00,53113.0
2016-08-14 00:00:00,53987.0
2016-08-15 00:00:00,114627.0
2016-08-16 00:00:00,132643.0
2016-08-17 00:00:00,131276.0
2016-08-18 00:00:00,123201.0
2016-08-19 00:00:00,121287.0
2016-08-20 00:00:00,56085.0
2016-08-21 00:00:00,52620.0
2016-08-22 00:00:00,120178.0
2016-08-23 00:00:00,131630.0
2016-08-24 00:00:00,130419.0
2016-08-25 00:00:00,132910.0
2016-08-26 00:00:00,115569.0
2016-08-27 00:00:00,53179.0
2016-08-28 00:00:00,53806.0
2016-08-29 00:00:00,120594.0
2016-08-30 00:00:00,140978.0
2016-08-31 00:00:00,143941.0
2016-09-01 00:00:00,136096.0
2016-09-02 00:00:00,121284.0
2016-09-03 00:00:00,57559.0
2016-09-04 00:00:00,55338.0
2016-09-05 00:00:00,89568.0
2016-09-06 00:00:00,134498.0
2016-09-07 00:00:00,145107.0
2016-09-08 00:00:00,149760.0
2016-09-09 00:00:00,120746.0
2016-09-10 00:00:00,62894.0
2016-09-11 00:00:00,66477.0
2016-09-12 00:00:00,149746.0
2016-09-13 00:00:00,137396.0
2016-09-14 00:00:00,132373.0
2016-09-15 00:00:00,125909.0
2016-09-16 00:00:00,118232.0
2016-09-17 00:00:00,57482.0
2016-09-18 00:00:00,60038.0
2016-09-19 00:00:00,137151.0
2016-09-20 00:00:00,140978.0
2016-09-21 00:00:00,130294.0
2016-09-22 00:00:00,142174.0
2016-09-23 00:00:00,116262.0
2016-09-24 00:00:00,56775.0
2016-09-25 00:00:00,56178.0
2016-09-26 00:00:00,144513.0
2016-09-27 00:00:00,144665.0
2016-09-28 00:00:00,138498.0
2016-09-29 00:00:00,146443.0
2016-09-30 00:00:00,124467.0
2016-10-01 00:00:00,46952.0
2016-10-02 00:00:00,18545.0
2016-10-03 00:00:00,146500.0
2016-10-04 00:00:00,149255.0
2016-10-05 00:00:00,149701.0
2016-10-06 00:00:00,147904.0
2016-10-07 00:00:00,127837.0
2016-10-08 00:00:00,59321.0
2016-10-09 00:00:00,60836.0
2016-10-10 00:00:00,134405.0
2016-10-11 00:00:00,166031.0
2016-10-12 00:00:00,153670.0
2016-10-13 00:00:00,147058.0
2016-10-14 00:00:00,139873.0
2016-10-15 00:00:00,68091.0
2016-10-16 00:00:00,65437.0
2016-10-17 00:00:00,165079.0
2016-10-18 00:00:00,157323.0
2016-10-19 00:00:00,149793.0
2016-10-20 00:00:00,153685.0
2016-10-21 00:00:00,144652.0
2016-10-22 00:00:00,66148.0
2016-10-23 00:00:00,63865.0
2016-10-24 00:00:00,136549.0
2016-10-25 00:00:00,171648.0
2016-10-26 00:00:00,151488.0
2016-10-27 00:00:00,162176.0
2016-10-28 00:00:00,145601.0
2016-10-29 00:00:00,69995.0
2016-10-30 00:00:00,69684.0
2016-10-31 00:00:00,149569.0
2016-11-01 00:00:00,167898.0
2016-11-02 00:00:00,157791.0
2016-11-03 00:00:00,165470.0
2016-11-04 00:00:00,145264.0
2016-11-05 00:00:00,72252.0
2016-11-06 00:00:00,65389.0
2016-11-07 00:00:00,160302.0
2016-11-08 00:00:00,156878.0
2016-11-09 00:00:00,149553.0
